Year,Marriage,Count,Percentage
1989,Within Marriage (or Civil Partnership),501921,72.98%
1989,Outside Marriage (or Civil Partnership),185804,27.02%
1988,Within Marriage (or Civil Partnership),516225,74.43%
1988,Outside Marriage (or Civil Partnership),177352,25.57%
1987,Within Marriage (or Civil Partnership),523080,76.75%
1987,Outside Marriage (or Civil Partnership),158431,23.25%
1986,Within Marriage (or Civil Partnership),519673,78.62%
1986,Outside Marriage (or Civil Partnership),141345,21.38%
1985,Within Marriage (or Civil Partnership),530167,80.77%
1985,Outside Marriage (or Civil Partnership),126250,19.23%
1984,Within Marriage (or Civil Partnership),526353,82.65%
1984,Outside Marriage (or Civil Partnership),110465,17.35%
1983,Within Marriage (or Civil Partnership),529923,84.23%
1983,Outside Marriage (or Civil Partnership),99211,15.77%
1982,Within Marriage (or Civil Partnership),536074,85.64%
1982,Outside Marriage (or Civil Partnership),89857,14.36%
1981,Within Marriage (or Civil Partnership),553509,87.24%
1981,Outside Marriage (or Civil Partnership),80983,12.76%
1980,Within Marriage (or Civil Partnership),578862,88.21%
1980,Outside Marriage (or Civil Partnership),77372,11.79%
1979,Within Marriage (or Civil Partnership),568561,89.11%
1979,Outside Marriage (or Civil Partnership),69467,10.89%
1978,Within Marriage (or Civil Partnership),535781,89.83%
1978,Outside Marriage (or Civil Partnership),60637,10.17%
1977,Within Marriage (or Civil Partnership),513880,90.27%
1977,Outside Marriage (or Civil Partnership),55379,9.73%
1976,Within Marriage (or Civil Partnership),530504,90.80%
1976,Outside Marriage (or Civil Partnership),53766,9.20%
1975,Within Marriage (or Civil Partnership),548554,90.90%
1975,Outside Marriage (or Civil Partnership),54891,9.10%
1974,Within Marriage (or Civil Partnership),583399,91.17%
1974,Outside Marriage (or Civil Partnership),56486,8.83%
1973,Within Marriage (or Civil Partnership),617856,91.41%
1973,Outside Marriage (or Civil Partnership),58097,8.59%
1972,Within Marriage (or Civil Partnership),662929,91.38%
1972,Outside Marriage (or Civil Partnership),62511,8.62%
1971,Within Marriage (or Civil Partnership),717477,91.61%
1971,Outside Marriage (or Civil Partnership),65678,8.39%
1970,Within Marriage (or Civil Partnership),719742,91.75%
1970,Outside Marriage (or Civil Partnership),64744,8.25%
1969,Within Marriage (or Civil Partnership),730497,91.59%
1969,Outside Marriage (or Civil Partnership),67041,8.41%
1968,Within Marriage (or Civil Partnership),749466,91.48%
1968,Outside Marriage (or Civil Partnership),69806,8.52%
1967,Within Marriage (or Civil Partnership),762236,91.60%
1967,Outside Marriage (or Civil Partnership),69928,8.40%
1966,Within Marriage (or Civil Partnership),782767,92.11%
1966,Outside Marriage (or Civil Partnership),67056,7.89%
1965,Within Marriage (or Civil Partnership),796476,92.32%
1965,Outside Marriage (or Civil Partnership),66249,7.68%
1964,Within Marriage (or Civil Partnership),812632,92.77%
1964,Outside Marriage (or Civil Partnership),63340,7.23%
1963,Within Marriage (or Civil Partnership),794951,93.08%
1963,Outside Marriage (or Civil Partnership),59104,6.92%
1962,Within Marriage (or Civil Partnership),783360,93.40%
1962,Outside Marriage (or Civil Partnership),55376,6.60%
1961,Within Marriage (or Civil Partnership),762791,94.02%
1961,Outside Marriage (or Civil Partnership),48490,5.98%
1960,Within Marriage (or Civil Partnership),742298,94.56%
1960,Outside Marriage (or Civil Partnership),42707,5.44%
1959,Within Marriage (or Civil Partnership),710340,94.90%
1959,Outside Marriage (or Civil Partnership),38161,5.10%
1958,Within Marriage (or Civil Partnership),704541,95.12%
1958,Outside Marriage (or Civil Partnership),36174,4.88%
1957,Within Marriage (or Civil Partnership),688819,95.22%
1957,Outside Marriage (or Civil Partnership),34562,4.78%
1956,Within Marriage (or Civil Partnership),666801,95.21%
1956,Outside Marriage (or Civil Partnership),33534,4.79%
1955,Within Marriage (or Civil Partnership),636666,95.34%
1955,Outside Marriage (or Civil Partnership),31145,4.66%
1954,Within Marriage (or Civil Partnership),642042,95.31%
1954,Outside Marriage (or Civil Partnership),31609,4.69%
1953,Within Marriage (or Civil Partnership),651869,95.25%
1953,Outside Marriage (or Civil Partnership),32503,4.75%
1952,Within Marriage (or Civil Partnership),641186,95.17%
1952,Outside Marriage (or Civil Partnership),32549,4.83%
1951,Within Marriage (or Civil Partnership),644758,95.16%
1951,Outside Marriage (or Civil Partnership),32771,4.84%
1950,Within Marriage (or Civil Partnership),661847,94.94%
1950,Outside Marriage (or Civil Partnership),35250,5.06%
1949,Within Marriage (or Civil Partnership),693611,94.95%
1949,Outside Marriage (or Civil Partnership),36907,5.05%
1948,Within Marriage (or Civil Partnership),733732,94.64%
1948,Outside Marriage (or Civil Partnership),41574,5.36%
1947,Within Marriage (or Civil Partnership),834423,94.71%
1947,Outside Marriage (or Civil Partnership),46603,5.29%
1946,Within Marriage (or Civil Partnership),766800,93.43%
1946,Outside Marriage (or Civil Partnership),53919,6.57%
1945,Within Marriage (or Civil Partnership),616517,90.67%
1945,Outside Marriage (or Civil Partnership),63420,9.33%
1944,Within Marriage (or Civil Partnership),696305,92.66%
1944,Outside Marriage (or Civil Partnership),55173,7.34%
1943,Within Marriage (or Civil Partnership),640625,93.61%
1943,Outside Marriage (or Civil Partnership),43709,6.39%
1942,Within Marriage (or Civil Partnership),615036,94.40%
1942,Outside Marriage (or Civil Partnership),36467,5.60%
1941,Within Marriage (or Civil Partnership),548033,94.64%
1941,Outside Marriage (or Civil Partnership),31058,5.36%
1940,Within Marriage (or Civil Partnership),564487,95.66%
1940,Outside Marriage (or Civil Partnership),25633,4.34%
1939,Within Marriage (or Civil Partnership),588909,95.84%
1939,Outside Marriage (or Civil Partnership),25570,4.16%
1938,Within Marriage (or Civil Partnership),594825,95.75%
1938,Outside Marriage (or Civil Partnership),26379,4.25%
