Gender,Year,Mean age of parenthood,Age,Age-specific fertility rate
Male,1971,29.6,45 - 49,7.4
Male,1970,29.7,45 - 49,7.6
Male,1969,29.8,45 - 49,8.2
Male,1968,29.9,45 - 49,9.1
Male,1967,30,45 - 49,10.2
Male,1966,30.1,45 - 49,10.7
Male,1965,30.2,45 - 49,11.5
Male,1964,30.3,45 - 49,11.6
Male,2020,33.7,50 - 54,3.5
Male,2019,33.6,50 - 54,3.6
Male,2018,33.6,50 - 54,3.6
Male,2017,33.4,50 - 54,3.7
Male,2016,33.3,50 - 54,3.8
Male,2015,33.2,50 - 54,3.8
Male,2014,33.1,50 - 54,3.8
Male,2013,32.9,50 - 54,3.7
Male,2012,32.7,50 - 54,3.9
Male,2011,32.6,50 - 54,3.7
Male,2010,32.5,50 - 54,3.6
Male,2009,32.4,50 - 54,3.5
Male,2008,32.3,50 - 54,3.4
Male,2007,32.3,50 - 54,3.3
Male,2006,32.2,50 - 54,3.2
Male,2005,32.2,50 - 54,3
Male,2004,32.1,50 - 54,2.8
Male,2003,32,50 - 54,2.7
Male,2002,31.9,50 - 54,2.5
Male,2001,31.8,50 - 54,2.5
Male,2000,31.7,50 - 54,2.5
Male,1999,31.6,50 - 54,2.5
Male,1998,31.5,50 - 54,2.5
Male,1997,31.5,50 - 54,2.6
Male,1996,31.4,50 - 54,2.6
Male,1995,31.3,50 - 54,2.5
Male,1994,31.3,50 - 54,2.6
Male,1993,31.1,50 - 54,2.7
Male,1992,30.9,50 - 54,2.7
Male,1991,30.8,50 - 54,2.9
Male,1990,30.7,50 - 54,3
Male,1989,30.7,50 - 54,2.9
Male,1988,30.5,50 - 54,2.9
Male,1987,30.5,50 - 54,2.9
Male,1986,30.4,50 - 54,2.7
Male,1985,30.3,50 - 54,2.6
Male,1984,30.3,50 - 54,2.5
Male,1983,30.2,50 - 54,2.5
Male,1982,30.1,50 - 54,2.3
Male,1981,30,50 - 54,2.2
Male,1980,29.8,50 - 54,2.1
Male,1979,29.8,50 - 54,2
Male,1978,29.7,50 - 54,1.9
Male,1977,29.7,50 - 54,1.7
Male,1976,29.6,50 - 54,1.7
Male,1975,29.5,50 - 54,1.8
Male,1974,29.4,50 - 54,1.8
Male,1973,29.5,50 - 54,2.1
Male,1972,29.6,50 - 54,2.3
Male,1971,29.6,50 - 54,2.5
Male,1970,29.7,50 - 54,2.5
Male,1969,29.8,50 - 54,2.8
Male,1968,29.9,50 - 54,2.9
Male,1967,30,50 - 54,3.1
Male,1966,30.1,50 - 54,3.3
Male,1965,30.2,50 - 54,3.5
Male,1964,30.3,50 - 54,3.7
Male,2020,33.7,55 - 59,1.2
Male,2019,33.6,55 - 59,1.2
Male,2018,33.6,55 - 59,1.2
Male,2017,33.4,55 - 59,1.3
Male,2016,33.3,55 - 59,1.3
Male,2015,33.2,55 - 59,1.2
Male,2014,33.1,55 - 59,1.2
Male,2013,32.9,55 - 59,1.2
Male,2012,32.7,55 - 59,1.2
Male,2011,32.6,55 - 59,1.2
Male,2010,32.5,55 - 59,1.1
Male,2009,32.4,55 - 59,1.1
Male,2008,32.3,55 - 59,1.1
Male,2007,32.3,55 - 59,1
Male,2006,32.2,55 - 59,1
Male,2005,32.2,55 - 59,1
Male,2004,32.1,55 - 59,1
Male,2003,32,55 - 59,0.9
Male,2002,31.9,55 - 59,0.9
Male,2001,31.8,55 - 59,0.9
Male,2000,31.7,55 - 59,0.9
Male,1999,31.6,55 - 59,1
Male,1998,31.5,55 - 59,1
Male,1997,31.5,55 - 59,1
Male,1996,31.4,55 - 59,1.1
Male,1995,31.3,55 - 59,1.1
Male,1994,31.3,55 - 59,1.1
Male,1993,31.1,55 - 59,1.1
Male,1992,30.9,55 - 59,1.1
Male,1991,30.8,55 - 59,1.2
Male,1990,30.7,55 - 59,1.1
Male,1989,30.7,55 - 59,1.1
Male,1988,30.5,55 - 59,1.1
Male,1987,30.5,55 - 59,1.1
Male,1986,30.4,55 - 59,1
Male,1985,30.3,55 - 59,1
Male,1984,30.3,55 - 59,0.9
Male,1983,30.2,55 - 59,0.8
Male,1982,30.1,55 - 59,0.7
Male,1981,30,55 - 59,0.7
Male,1980,29.8,55 - 59,0.7
Male,1979,29.8,55 - 59,0.7
Male,1978,29.7,55 - 59,0.6
Male,1977,29.7,55 - 59,0.6
Male,1976,29.6,55 - 59,0.6
Male,1975,29.5,55 - 59,0.7
Male,1974,29.4,55 - 59,0.6
Male,1973,29.5,55 - 59,0.7
Male,1972,29.6,55 - 59,0.7
Male,1971,29.6,55 - 59,0.8
Male,1970,29.7,55 - 59,0.9
Male,1969,29.8,55 - 59,0.9
Male,1968,29.9,55 - 59,0.9
Male,1967,30,55 - 59,1
Male,1966,30.1,55 - 59,1
Male,1965,30.2,55 - 59,1.1
Male,1964,30.3,55 - 59,1.1
Male,2020,33.7,60 and over,0.5
Male,2019,33.6,60 and over,0.5
Male,2018,33.6,60 and over,0.5
Male,2017,33.4,60 and over,0.6
Male,2016,33.3,60 and over,0.6
Male,2015,33.2,60 and over,0.6
Male,2014,33.1,60 and over,0.6
Male,2013,32.9,60 and over,0.6
Male,2012,32.7,60 and over,0.6
Male,2011,32.6,60 and over,0.5
Male,2010,32.5,60 and over,0.5
Male,2009,32.4,60 and over,0.5
Male,2008,32.3,60 and over,0.5
Male,2007,32.3,60 and over,0.5
Male,2006,32.2,60 and over,0.6
Male,2005,32.2,60 and over,0.6
Male,2004,32.1,60 and over,0.6
Male,2003,32,60 and over,0.6
Male,2002,31.9,60 and over,0.6
Male,2001,31.8,60 and over,0.6
Male,2000,31.7,60 and over,0.5
Male,1999,31.6,60 and over,0.5
Male,1998,31.5,60 and over,0.6
Male,1997,31.5,60 and over,0.5
Male,1996,31.4,60 and over,0.6
Male,1995,31.3,60 and over,0.6
Male,1994,31.3,60 and over,0.6
Male,1993,31.1,60 and over,0.7
Male,1992,30.9,60 and over,0.6
Male,1991,30.8,60 and over,0.6
Male,1990,30.7,60 and over,0.6
Male,1989,30.7,60 and over,0.6
Male,1988,30.5,60 and over,0.5
Male,1987,30.5,60 and over,0.5
Male,1986,30.4,60 and over,0.4
Male,1985,30.3,60 and over,0.4
Male,1984,30.3,60 and over,0.4
Male,1983,30.2,60 and over,0.3
Male,1982,30.1,60 and over,0.4
Male,1981,30,60 and over,0.3
Male,1980,29.8,60 and over,0.4
Male,1979,29.8,60 and over,0.3
Male,1978,29.7,60 and over,0.3
Male,1977,29.7,60 and over,0.3
Male,1976,29.6,60 and over,0.3
Male,1975,29.5,60 and over,0.3
Male,1974,29.4,60 and over,0.3
Male,1973,29.5,60 and over,0.3
Male,1972,29.6,60 and over,0.3
Male,1971,29.6,60 and over,0.4
Male,1970,29.7,60 and over,0.3
Male,1969,29.8,60 and over,0.4
Male,1968,29.9,60 and over,0.4
Male,1967,30,60 and over,0.4
Male,1966,30.1,60 and over,0.4
Male,1965,30.2,60 and over,0.5
Male,1964,30.3,60 and over,0.5
